method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
driftlens,TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,U,DRIFT,none,batch_level,batch_auroc,0.0,,,4,,42,2026-08-24T09:51:45
ae_adwin_lstm,TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.0395,0.4811,1.0,34,0.0,42,2026-08-24T09:51:45
tdivdm,TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6285,0.8319,1.0,34,,42,2026-08-24T09:51:45
driftlens,TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.25,,,4,,42,2026-08-24T09:51:52
ae_adwin_lstm,TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4599,0.5602,0.9565,49,4.0,42,2026-08-24T09:51:52
tdivdm,TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6187,0.6657,0.6522,49,,42,2026-08-24T09:51:53
driftlens,TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.2,,,6,,42,2026-08-24T09:52:27
ae_adwin_lstm,TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6095,0.1581,0.8931,144,2.0,42,2026-08-24T09:52:27
tdivdm,TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.8033,0.268,0.6947,144,,42,2026-08-24T09:52:29
driftlens,TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.6667,,,4,,42,2026-08-24T09:52:34
ae_adwin_lstm,TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5506,0.5042,0.7917,38,1.0,42,2026-08-24T09:52:34
tdivdm,TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.625,0.5287,0.7083,38,,42,2026-08-24T09:52:35
driftlens,TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,,,,4,,42,2026-08-24T09:53:21
ae_adwin_lstm,TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6993,0.1436,0.5163,159,,42,2026-08-24T09:53:21
tdivdm,TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7179,0.3547,0.8235,159,,42,2026-08-24T09:53:24
driftlens,TSB-U-DRIFT_010_SEG_12000_521_UCR_id_219_Facility_tr_3,U,DRIFT,none,batch_level,batch_auroc,1.0,,,7,,42,2026-08-24T09:53:41
ae_adwin_lstm,TSB-U-DRIFT_010_SEG_12000_521_UCR_id_219_Facility_tr_3,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7434,0.8929,0.8361,241,6.0,42,2026-08-24T09:53:41
tdivdm,TSB-U-DRIFT_010_SEG_12000_521_UCR_id_219_Facility_tr_3,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.9825,0.9948,0.0492,241,,42,2026-08-24T09:53:43
driftlens,TSB-U-DRIFT_012_SEG_18049_023_NAB_id_23_Facility_tr_45,U,DRIFT,none,batch_level,batch_auroc,0.5,,,9,,42,2026-08-24T09:54:29
ae_adwin_lstm,TSB-U-DRIFT_012_SEG_18049_023_NAB_id_23_Facility_tr_45,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.8959,0.9209,0.671,302,2.0,42,2026-08-24T09:54:30
tdivdm,TSB-U-DRIFT_012_SEG_18049_023_NAB_id_23_Facility_tr_45,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.9051,0.9307,0.7161,302,,42,2026-08-24T09:54:33
driftlens,TSB-U-DRIFT_013_SEG_4031_022_NAB_id_22_Facility_tr_100,U,DRIFT,none,batch_level,batch_auroc,1.0,,,6,,42,2026-08-24T09:54:42
ae_adwin_lstm,TSB-U-DRIFT_013_SEG_4031_022_NAB_id_22_Facility_tr_100,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3446,0.7965,1.0,222,7.0,42,2026-08-24T09:54:42
tdivdm,TSB-U-DRIFT_013_SEG_4031_022_NAB_id_22_Facility_tr_100,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3969,0.8328,0.9286,222,,42,2026-08-24T09:54:43
driftlens,TSB-U-DRIFT_014_SEG_18236_050_WSD_id_22_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.1429,,,8,,42,2026-08-24T09:55:17
ae_adwin_lstm,TSB-U-DRIFT_014_SEG_18236_050_WSD_id_22_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7406,0.3815,0.7333,128,1.0,42,2026-08-24T09:55:18
tdivdm,TSB-U-DRIFT_014_SEG_18236_050_WSD_id_22_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.8042,0.5172,0.8417,128,,42,2026-08-24T09:55:20
driftlens,TSB-U-DRIFT_015_SEG_18236_095_WSD_id_67_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T09:55:33
ae_adwin_lstm,TSB-U-DRIFT_015_SEG_18236_095_WSD_id_67_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.2063,0.3617,0.9524,42,2.0,42,2026-08-24T09:55:33
tdivdm,TSB-U-DRIFT_015_SEG_18236_095_WSD_id_67_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3129,0.4116,0.9048,42,,42,2026-08-24T09:55:34
driftlens,TSB-U-DRIFT_016_SEG_18236_100_WSD_id_72_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T09:56:21
ae_adwin_lstm,TSB-U-DRIFT_016_SEG_18236_100_WSD_id_72_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4407,0.2047,0.9792,125,11.0,42,2026-08-24T09:56:21
tdivdm,TSB-U-DRIFT_016_SEG_18236_100_WSD_id_72_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4023,0.1953,0.9896,125,,42,2026-08-24T09:56:22
driftlens,TSB-U-DRIFT_017_SEG_8784_275_IOPS_id_16_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.5,,,4,,42,2026-08-24T09:56:31
ae_adwin_lstm,TSB-U-DRIFT_017_SEG_8784_275_IOPS_id_16_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6095,0.7686,1.0,29,2.0,42,2026-08-24T09:56:31
tdivdm,TSB-U-DRIFT_017_SEG_8784_275_IOPS_id_16_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6238,0.6909,0.9333,29,,42,2026-08-24T09:56:31
driftlens,TSB-U-DRIFT_020_SEG_18193_088_WSD_id_60_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T09:56:42
ae_adwin_lstm,TSB-U-DRIFT_020_SEG_18193_088_WSD_id_60_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3575,0.3404,0.9808,86,1.0,42,2026-08-24T09:56:42
